Zipcode,City,State,Available,ZipType
90001,LOS ANGELES,CA,Available,STANDARD
90002,LOS ANGELES,CA,Available,STANDARD
90003,LOS ANGELES,CA,Available,STANDARD
90004,LOS ANGELES,CA,Available,STANDARD
90005,LOS ANGELES,CA,Available,STANDARD
90006,LOS ANGELES,CA,Available,STANDARD
90007,LOS ANGELES,CA,Available,STANDARD
90008,LOS ANGELES,CA,Available,STANDARD
90009,LOS ANGELES,CA,Available,STANDARD
90010,LOS ANGELES,CA,Available,STANDARD
90011,LOS ANGELES,CA,Available,STANDARD
90012,LOS ANGELES,CA,Available,STANDARD
90013,LOS ANGELES,CA,Available,STANDARD
90014,LOS ANGELES,CA,Available,STANDARD
90015,LOS ANGELES,CA,Available,STANDARD
90016,LOS ANGELES,CA,Available,STANDARD
90017,LOS ANGELES,CA,Available,STANDARD
90018,LOS ANGELES,CA,Available,STANDARD
90019,LOS ANGELES,CA,Available,STANDARD
90020,LOS ANGELES,CA,Available,STANDARD
90021,LOS ANGELES,CA,Available,STANDARD
90022,LOS ANGELES,CA,Available,STANDARD
90023,LOS ANGELES,CA,Available,STANDARD
90024,LOS ANGELES,CA,Available,STANDARD
90025,LOS ANGELES,CA,Available,STANDARD
90026,LOS ANGELES,CA,Available,STANDARD
90027,LOS ANGELES,CA,Available,STANDARD
90028,LOS ANGELES,CA,Available,STANDARD
90029,LOS ANGELES,CA,Available,STANDARD
90030,LOS ANGELES,CA,Available,STANDARD
90031,LOS ANGELES,CA,Available,STANDARD
90032,LOS ANGELES,CA,Available,STANDARD
90033,LOS ANGELES,CA,Available,STANDARD
90034,LOS ANGELES,CA,Available,STANDARD
90035,LOS ANGELES,CA,Available,STANDARD
90036,LOS ANGELES,CA,Available,STANDARD
90037,LOS ANGELES,CA,Available,STANDARD
90038,LOS ANGELES,CA,Available,STANDARD
90039,LOS ANGELES,CA,Available,STANDARD
90040,LOS ANGELES,CA,Available,STANDARD
90041,LOS ANGELES,CA,Available,STANDARD
90042,LOS ANGELES,CA,Available,STANDARD
90043,LOS ANGELES,CA,Available,STANDARD
90044,LOS ANGELES,CA,Available,STANDARD
90045,LOS ANGELES,CA,Available,STANDARD
90046,LOS ANGELES,CA,Available,STANDARD
90047,LOS ANGELES,CA,Available,STANDARD
90048,LOS ANGELES,CA,Available,STANDARD
90049,LOS ANGELES,CA,Available,STANDARD
90050,LOS ANGELES,CA,Available,STANDARD
90051,LOS ANGELES,CA,Available,STANDARD
90052,LOS ANGELES,CA,Available,STANDARD
90053,LOS ANGELES,CA,Available,STANDARD
90054,LOS ANGELES,CA,Available,STANDARD
90055,LOS ANGELES,CA,Available,STANDARD
90056,LOS ANGELES,CA,Available,STANDARD
90057,LOS ANGELES,CA,Available,STANDARD
90058,LOS ANGELES,CA,Available,STANDARD
90059,LOS ANGELES,CA,Available,STANDARD
90060,LOS ANGELES,CA,Available,STANDARD
90061,LOS ANGELES,CA,Available,STANDARD
90062,LOS ANGELES,CA,Available,STANDARD
90063,LOS ANGELES,CA,Available,STANDARD
90064,LOS ANGELES,CA,Available,STANDARD
90065,LOS ANGELES,CA,Available,STANDARD
90066,LOS ANGELES,CA,Available,STANDARD
90067,LOS ANGELES,CA,Available,STANDARD
90068,LOS ANGELES,CA,Available,STANDARD
90069,WEST HOLLYWOOD,CA,Available,STANDARD
90070,LOS ANGELES,CA,Available,STANDARD
90071,LOS ANGELES,CA,Available,STANDARD
90072,LOS ANGELES,CA,Available,STANDARD
90073,LOS ANGELES,CA,Available,STANDARD
90074,LOS ANGELES,CA,Available,UNIQUE
90075,LOS ANGELES,CA,Available,STANDARD
90076,LOS ANGELES,CA,Available,STANDARD
90077,LOS ANGELES,CA,Available,STANDARD
90078,LOS ANGELES,CA,Available,STANDARD
90079,LOS ANGELES,CA,Available,STANDARD
90080,LOS ANGELES,CA,Available,STANDARD
90081,LOS ANGELES,CA,Available,STANDARD
90082,LOS ANGELES,CA,Available,STANDARD
90083,LOS ANGELES,CA,Available,STANDARD
90084,LOS ANGELES,CA,Available,UNIQUE
90086,LOS ANGELES,CA,Available,STANDARD
90087,LOS ANGELES,CA,Available,STANDARD
90088,LOS ANGELES,CA,Available,UNIQUE
90089,LOS ANGELES,CA,Available,UNIQUE
90091,LOS ANGELES,CA,Available,STANDARD
90093,LOS ANGELES,CA,Available,STANDARD
90094,LOS ANGELES,CA,Available,STANDARD
90095,LOS ANGELES,CA,Available,UNIQUE
90096,LOS ANGELES,CA,Available,UNIQUE
90097,LOS ANGELES,CA,Available,STANDARD
90099,LOS ANGELES,CA,Available,STANDARD
90101,LOS ANGELES,CA,Available,STANDARD
90102,LOS ANGELES,CA,Available,UNIQUE
90103,LOS ANGELES,CA,Available,UNIQUE
90174,LOS ANGELES,CA,Available,UNIQUE
90185,LOS ANGELES,CA,Available,UNIQUE
90201,BELL,CA,Available,STANDARD
90202,BELL GARDENS,CA,Available,STANDARD
90209,BEVERLY HILLS,CA,Available,STANDARD
90210,BEVERLY HILLS,CA,Available,STANDARD
90211,BEVERLY HILLS,CA,Available,STANDARD
90212,BEVERLY HILLS,CA,Available,STANDARD
90213,BEVERLY HILLS,CA,Available,STANDARD
90220,COMPTON,CA,Available,STANDARD
90221,COMPTON,CA,Available,STANDARD
90222,COMPTON,CA,Available,STANDARD
90223,COMPTON,CA,Available,STANDARD
90224,COMPTON,CA,Available,STANDARD
90230,CULVER CITY,CA,Available,STANDARD
90231,CULVER CITY,CA,Available,STANDARD
90232,CULVER CITY,CA,Available,STANDARD
90233,CULVER CITY,CA,Available,STANDARD
90239,DOWNEY,CA,Available,STANDARD
90240,DOWNEY,CA,Available,STANDARD
90241,DOWNEY,CA,Available,STANDARD
90242,DOWNEY,CA,Available,STANDARD
90245,EL SEGUNDO,CA,Available,STANDARD
90247,GARDENA,CA,Available,STANDARD
90248,GARDENA,CA,Available,STANDARD
90249,GARDENA,CA,Available,STANDARD
90250,HAWTHORNE,CA,Available,STANDARD
90251,HAWTHORNE,CA,Available,STANDARD
90254,HERMOSA BEACH,CA,Available,STANDARD
90255,HUNTINGTON PARK,CA,Available,STANDARD
90260,LAWNDALE,CA,Available,STANDARD
90261,LAWNDALE,CA,Available,STANDARD
90262,LYNWOOD,CA,Available,STANDARD
90263,MALIBU,CA,Available,STANDARD
90264,MALIBU,CA,Available,STANDARD
90265,MALIBU,CA,Available,STANDARD
90266,MANHATTAN BEACH,CA,Available,STANDARD
90267,MANHATTAN BEACH,CA,Available,STANDARD
90270,MAYWOOD,CA,Available,STANDARD
90272,PACIFIC PALISADES,CA,Available,STANDARD
90274,PALOS VERDES PENINSULA,CA,Available,STANDARD
90275,RANCHO PALOS VERDES,CA,Available,STANDARD
90277,REDONDO BEACH,CA,Available,STANDARD
90278,REDONDO BEACH,CA,Available,STANDARD
90280,SOUTH GATE,CA,Available,STANDARD
90290,TOPANGA,CA,Available,STANDARD
90291,VENICE,CA,Available,STANDARD
90292,MARINA DEL REY,CA,Available,STANDARD
90293,PLAYA DEL REY,CA,Available,STANDARD
